Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0031344	regulation of cell projection organization	BIOLOGICAL_PROCESS	2.3381242729222935E-11	1.8532273395333837E-15	397	2034	1282	10921
[OVER]	GO:0120035	regulation of plasma membrane bounded cell projection organization	BIOLOGICAL_PROCESS	2.3381242729222935E-11	1.3756263437397416E-15	394	2010	1285	10945
[OVER]	GO:0120036	plasma membrane bounded cell projection organization	BIOLOGICAL_PROCESS	2.8198028570765737E-11	3.352517961094488E-15	610	3500	1069	9455
[OVER]	GO:0030030	cell projection organization	BIOLOGICAL_PROCESS	3.7513281834863694E-11	5.946701832499297E-15	614	3539	1065	9416
[OVER]	GO:0045202	synapse	CELLULAR_COMPONENT	1.2408756655393683E-9	2.4588349889814293E-13	451	2473	1228	10482
[OVER]	GO:0098794	postsynapse	CELLULAR_COMPONENT	2.898182517969207E-9	6.891410100984917E-13	324	1646	1355	11309
[OVER]	GO:0010975	regulation of neuron projection development	BIOLOGICAL_PROCESS	3.5891205524875326E-9	9.95674072342279E-13	323	1645	1356	11310
[OVER]	GO:0031175	neuron projection development	BIOLOGICAL_PROCESS	4.094339898416295E-9	1.3452155356543582E-12	496	2813	1183	10142
[OVER]	GO:0005886	plasma membrane	CELLULAR_COMPONENT	4.094339898416295E-9	1.4603518838721775E-12	878	5601	801	7354
[OVER]	GO:0023051	regulation of signaling	BIOLOGICAL_PROCESS	5.5972847974740065E-9	2.218239922908099E-12	891	5710	788	7245
[OVER]	GO:0010646	regulation of cell communication	BIOLOGICAL_PROCESS	2.277956122178863E-8	9.930455096091425E-12	885	5700	794	7255
[OVER]	GO:0042995	cell projection	CELLULAR_COMPONENT	2.4174177565470476E-8	1.149645824062322E-11	694	4273	985	8682
[OVER]	GO:0048666	neuron development	BIOLOGICAL_PROCESS	2.5642152319579414E-8	1.3210794600504592E-11	548	3223	1131	9732
[OVER]	GO:0033036	macromolecule localization	BIOLOGICAL_PROCESS	3.460952668294908E-8	1.92023688646331E-11	758	4758	921	8197
[OVER]	GO:0071944	cell periphery	CELLULAR_COMPONENT	4.0643441504601886E-8	2.4160885450363742E-11	905	5875	774	7080
[OVER]	GO:0051128	regulation of cellular component organization	BIOLOGICAL_PROCESS	4.518574094264873E-8	2.865183906322592E-11	759	4775	920	8180
[OVER]	GO:0007267	cell-cell signaling	BIOLOGICAL_PROCESS	5.213590087740749E-8	3.5125047157132615E-11	568	3386	1111	9569
[OVER]	GO:0022604	regulation of cell morphogenesis	BIOLOGICAL_PROCESS	6.585810527966524E-8	4.697998236571055E-11	279	1419	1400	11536
[OVER]	GO:0023052	signaling	BIOLOGICAL_PROCESS	6.707956679008944E-8	5.1148715721188856E-11	1074	7214	605	5741
[OVER]	GO:0120025	plasma membrane bounded cell projection	CELLULAR_COMPONENT	6.707956679008944E-8	5.3168126493155336E-11	665	4096	1014	8859
[OVER]	GO:0019899	enzyme binding	MOLECULAR_FUNCTION	9.079471470323275E-8	7.556331029873133E-11	612	3719	1067	9236
[OVER]	GO:0031346	positive regulation of cell projection organization	BIOLOGICAL_PROCESS	1.2106041624137083E-7	1.055494454607125E-10	245	1214	1434	11741
[OVER]	GO:0051641	cellular localization	BIOLOGICAL_PROCESS	2.0796126237346055E-7	1.8955768377083946E-10	781	4986	898	7969
[OVER]	GO:0007154	cell communication	BIOLOGICAL_PROCESS	2.554603930923371E-7	2.4297742774208737E-10	1081	7310	598	5645
[OVER]	GO:0030424	axon	CELLULAR_COMPONENT	2.571930046066588E-7	2.548180999154468E-10	340	1847	1339	11108
[OVER]	GO:0032279	asymmetric synapse	CELLULAR_COMPONENT	3.475155422639661E-7	3.580788688964102E-10	202	962	1477	11993
