Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0021750	vestibular nucleus development	BIOLOGICAL_PROCESS	0.010014241462118097	1.3959027403696005E-4	6	3	1673	12952	OG0003616;OG0006965;OG0000695;OG0006618;OG0004170;OG0004715
[OVER]	GO:0086005	ventricular cardiac muscle cell action potential	BIOLOGICAL_PROCESS	0.03191401394440533	6.808760891400599E-4	23	76	1656	12879	OG0017880;OG0018915;OG0014822;OG0001190;OG0036436;OG0008148;OG0006384;OG0013655;OG0004596;OG0001011;OG0029414;OG0006977;OG0038202;OG0001530;OG0006217;OG0036551;OG0000135;OG0001433;OG0012195;OG0001576;OG0008769;OG0001646;OG0018392
[OVER]	GO:0033292	T-tubule organization	BIOLOGICAL_PROCESS	0.005092636094308541	5.9465153887785775E-5	12	18	1667	12937	OG0004596;OG0006168;OG0001011;OG0006900;OG0006977;OG0000135;OG0012195;OG0014822;OG0004514;OG0044260;OG0001646;OG0018392
[OVER]	GO:0006413	translational initiation	BIOLOGICAL_PROCESS	0.03473540196582782	7.644428235038104E-4	37	152	1642	12803	OG0017362;OG0006808;OG0021126;OG0015287;OG0044720;OG0023780;OG0000908;OG0026395;OG0044383;OG0030339;OG0006034;OG0002591;OG0006494;OG0007422;OG0050397;OG0006975;OG0010150;OG0033230;OG0005325;OG0038590;OG0017790;OG0022323;OG0044556;OG0047427;OG0026622;OG0021098;OG0004919;OG0038935;OG0006581;OG0001296;OG0039502;OG0031585;OG0036550;OG0040644;OG0020519;OG0001314;OG0025628
[OVER]	GO:0002295	T-helper cell lineage commitment	BIOLOGICAL_PROCESS	0.04177580777768537	9.838745102803514E-4	10	19	1669	12936	OG0049516;OG0011995;OG0043880;OG0013742;OG0018058;OG0016564;OG0036297;OG0012619;OG0018053;OG0006869
[OVER]	GO:0016081	synaptic vesicle docking	BIOLOGICAL_PROCESS	1.3690692779260645E-4	7.098958019645125E-7	23	44	1656	12911	OG0021168;OG0023855;OG0049226;OG0023697;OG0021342;OG0032019;OG0014776;OG0041090;OG0028094;OG0028110;OG0006384;OG0009068;OG0000162;OG0035750;OG0009202;OG0004254;OG0008861;OG0000055;OG0000035;OG0009735;OG0001523;OG0004019;OG0008627
[OVER]	GO:0060083	smooth muscle contraction involved in micturition	BIOLOGICAL_PROCESS	0.03226069350517827	6.946571115744529E-4	8	11	1671	12944	OG0003616;OG0002154;OG0006965;OG0000695;OG0001576;OG0006618;OG0004170;OG0004715
[OVER]	GO:0032329	serine transport	BIOLOGICAL_PROCESS	0.02342342491344928	4.468845316767952E-4	8	10	1671	12945	OG0046577;OG0027856;OG0018248;OG0032664;OG0036494;OG0046936;OG0000842;OG0035294
[OVER]	GO:0008090	retrograde axonal transport	BIOLOGICAL_PROCESS	0.03447375846032565	7.53226514807622E-4	19	57	1660	12898	OG0017661;OG0017880;OG0014043;OG0001707;OG0023111;OG0032846;OG0016306;OG0001190;OG0006384;OG0026190;OG0011302;OG0013655;OG0006005;OG0036047;OG0009586;OG0006217;OG0028624;OG0022008;OG0008769
[OVER]	GO:0009611	response to wounding	BIOLOGICAL_PROCESS	0.02756405065172599	5.48406643486032E-4	249	1549	1430	11406	OG0018298;OG0023646;OG0017880;OG0018058;OG0014258;OG0004570;OG0007600;OG0028542;OG0036047;OG0009586;OG0006079;OG0037254;OG0050232;OG0030062;OG0048939;OG0008935;OG0049922;OG0020487;OG0000879;OG0026107;OG0001969;OG0021573;OG0012619;OG0032805;OG0011647;OG0032255;OG0001291;OG0032496;OG0044908;OG0003352;OG0013951;OG0044902;OG0000520;OG0035880;OG0042968;OG0036053;OG0047515;OG0001959;OG0026576;OG0045693;OG0012604;OG0012730;OG0039218;OG0007388;OG0009202;OG0006970;OG0012174;OG0006611;OG0040437;OG0005407;OG0024703;OG0006979;OG0001702;OG0040692;OG0036070;OG0001707;OG0016887;OG0017615;OG0034577;OG0029540;OG0009316;OG0011630;OG0037044;OG0003456;OG0008349;OG0003339;OG0002008;OG0019502;OG0043457;OG0014299;OG0045193;OG0017328;OG0035945;OG0035703;OG0039639;OG0009268;OG0038421;OG0028624;OG0040977;OG0000336;OG0005108;OG0014041;OG0048477;OG0023431;OG0024763;OG0017674;OG0004919;OG0016586;OG0008040;OG0046172;OG0010248;OG0035167;OG0031487;OG0039884;OG0036494;OG0005338;OG0037223;OG0002620;OG0002624;OG0017661;OG0048924;OG0048004;OG0019964;OG0044324;OG0016214;OG0020150;OG0010901;OG0014955;OG0034885;OG0009920;OG0037912;OG0039534;OG0001087;OG0012772;OG0010351;OG0038202;OG0001523;OG0035294;OG0022323;OG0045784;OG0026006;OG0020144;OG0031932;OG0025150;OG0032474;OG0037489;OG0034892;OG0008023;OG0010580;OG0000420;OG0042703;OG0023248;OG0049516;OG0049996;OG0021183;OG0011938;OG0028263;OG0028942;OG0039036;OG0009625;OG0040813;OG0038063;OG0046917;OG0044992;OG0015054;OG0000914;OG0023111;OG0015056;OG0013558;OG0009179;OG0009618;OG0021723;OG0025525;OG0018792;OG0044644;OG0017102;OG0015168;OG0024550;OG0049893;OG0000908;OG0049774;OG0026053;OG0004153;OG0013663;OG0004039;OG0006217;OG0003863;OG0022008;OG0008878;OG0004712;OG0026606;OG0022923;OG0019077;OG0003728;OG0024667;OG0025870;OG0048332;OG0016128;OG0035814;OG0031341;OG0042907;OG0013655;OG0038775;OG0013530;OG0044528;OG0003975;OG0039064;OG0023209;OG0008627;OG0040580;OG0000604;OG0019100;OG0024014;OG0015789;OG0011979;OG0010411;OG0007489;OG0001265;OG0045902;OG0028109;OG0016192;OG0037172;OG0047424;OG0046577;OG0032846;OG0013901;OG0044272;OG0006384;OG0048193;OG0005850;OG0001371;OG0029201;OG0002100;OG0029329;OG0020799;OG0045012;OG0040123;OG0034918;OG0045493;OG0011834;OG0018914;OG0011601;OG0016607;OG0000395;OG0032982;OG0002574;OG0038840;OG0044957;OG0000035;OG0003788;OG0050050;OG0004514;OG0000932;OG0043880;OG0024225;OG0025677;OG0020540;OG0014304;OG0030209;OG0045021;OG0011158;OG0039822;OG0012488;OG0035343;OG0005155;OG0050288;OG0000266;OG0004626;OG0049739
[OVER]	GO:0070672	response to interleukin-15	BIOLOGICAL_PROCESS	0.020177690359916126	3.6020180305265095E-4	10	16	1669	12939	OG0001702;OG0011995;OG0034326;OG0013742;OG0044803;OG0047353;OG0035945;OG0018053;OG0020799;OG0006869
[OVER]	GO:1990928	response to amino acid starvation	BIOLOGICAL_PROCESS	0.025596873701357686	5.025352024965727E-4	24	79	1655	12876	OG0017362;OG0022323;OG0000604;OG0015056;OG0018248;OG0004919;OG0044720;OG0046172;OG0044383;OG0045493;OG0002591;OG0030261;OG0008623;OG0029079;OG0032664;OG0040301;OG0036550;OG0044417;OG0042600;OG0044528;OG0003336;OG0006975;OG0049739;OG0000842
