Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0070888	E-box binding	MOLECULAR_FUNCTION	2.9779869957387466E-12	1.1801953773783326E-16	19	101	150	14364
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	6.33548612995692E-11	5.0215877065405775E-15	19	127	150	14338
[OVER]	GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	BIOLOGICAL_PROCESS	1.3535891692729137E-8	1.6093082502353033E-12	8	7	161	14458
[OVER]	GO:0007623	circadian rhythm	BIOLOGICAL_PROCESS	1.8562419197527514E-7	2.9425623901284055E-11	32	681	137	13784
[OVER]	GO:0035914	skeletal muscle cell differentiation	BIOLOGICAL_PROCESS	6.776118749669004E-7	1.3427096955710783E-10	18	209	151	14256
[OVER]	GO:0048512	circadian behavior	BIOLOGICAL_PROCESS	2.017818560611482E-6	4.798046749759796E-10	19	258	150	14207
[OVER]	GO:0070859	positive regulation of bile acid biosynthetic process	BIOLOGICAL_PROCESS	2.7483690009009707E-6	9.559240804866261E-10	6	5	163	14460
[OVER]	GO:1904253	positive regulation of bile acid metabolic process	BIOLOGICAL_PROCESS	2.7483690009009707E-6	9.559240804866261E-10	6	5	163	14460
[OVER]	GO:0048511	rhythmic process	BIOLOGICAL_PROCESS	2.7483690009009707E-6	1.0891962909289306E-9	34	884	135	13581
[OVER]	GO:0007622	rhythmic behavior	BIOLOGICAL_PROCESS	2.7483690009009707E-6	1.0380462701253237E-9	19	271	150	14194
[OVER]	GO:0061889	negative regulation of astrocyte activation	BIOLOGICAL_PROCESS	7.989977569339257E-6	3.483127383296945E-9	6	7	163	14458
[OVER]	GO:0001222	transcription corepressor binding	MOLECULAR_FUNCTION	8.578399964104057E-6	4.079610017407708E-9	9	40	160	14425
[OVER]	GO:0042749	regulation of circadian sleep/wake cycle	BIOLOGICAL_PROCESS	1.0718728945178095E-5	5.780974531239047E-9	13	123	156	14342
[OVER]	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	1.0718728945178095E-5	5.947061595232169E-9	34	947	135	13518
[OVER]	GO:0042752	regulation of circadian rhythm	BIOLOGICAL_PROCESS	3.408532259029348E-5	2.2439410910146598E-8	20	368	149	14097
