Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0006955	immune response	BIOLOGICAL_PROCESS	4.725203527712585E-12	2.0789108038502789E-16	55	2502	49	12028
[OVER]	GO:0006909	phagocytosis	BIOLOGICAL_PROCESS	4.725203527712585E-12	6.669683684255135E-16	30	675	74	13855
[OVER]	GO:0002694	regulation of leukocyte activation	BIOLOGICAL_PROCESS	4.725203527712585E-12	6.063137841870493E-16	35	968	69	13562
[OVER]	GO:0045087	innate immune response	BIOLOGICAL_PROCESS	4.725203527712585E-12	7.490514053362795E-16	34	912	70	13618
[OVER]	GO:0002684	positive regulation of immune system process	BIOLOGICAL_PROCESS	2.926564338847973E-11	5.799081240534168E-15	43	1631	61	12899
[OVER]	GO:0050865	regulation of cell activation	BIOLOGICAL_PROCESS	3.2977517597776293E-11	7.841521245458635E-15	35	1056	69	13474
[OVER]	GO:0051249	regulation of lymphocyte activation	BIOLOGICAL_PROCESS	3.564083591047989E-11	9.887284562808988E-15	31	809	73	13721
[OVER]	GO:1903039	positive regulation of leukocyte cell-cell adhesion	BIOLOGICAL_PROCESS	9.612732374693015E-11	3.047670074804586E-14	23	411	81	14119
[OVER]	GO:0046651	lymphocyte proliferation	BIOLOGICAL_PROCESS	1.1866033301500977E-10	4.23232670366222E-14	25	515	79	14015
[OVER]	GO:0032943	mononuclear cell proliferation	BIOLOGICAL_PROCESS	1.3716880629186323E-10	5.436087912331598E-14	25	521	79	14009
[OVER]	GO:0002696	positive regulation of leukocyte activation	BIOLOGICAL_PROCESS	1.5050888005782257E-10	6.561239966060509E-14	26	578	78	13952
[OVER]	GO:0098542	defense response to other organism	BIOLOGICAL_PROCESS	2.2932393674808347E-10	1.0905905920726832E-13	39	1453	65	13077
[OVER]	GO:0070665	positive regulation of leukocyte proliferation	BIOLOGICAL_PROCESS	2.719346311334889E-10	1.4010027363909784E-13	17	196	87	14334
[OVER]	GO:0070661	leukocyte proliferation	BIOLOGICAL_PROCESS	2.796851332633913E-10	1.5517742106319019E-13	25	547	79	13983
[OVER]	GO:0050776	regulation of immune response	BIOLOGICAL_PROCESS	3.0761102453433625E-10	1.8286233773293084E-13	37	1324	67	13206
[OVER]	GO:0002252	immune effector process	BIOLOGICAL_PROCESS	3.2163852091630654E-10	2.039478593374115E-13	41	1642	63	12888
[OVER]	GO:0050870	positive regulation of T cell activation	BIOLOGICAL_PROCESS	3.5901810282143214E-10	2.418780068943188E-13	21	362	83	14168
[OVER]	GO:0045785	positive regulation of cell adhesion	BIOLOGICAL_PROCESS	3.6086569251083597E-10	2.57424105940437E-13	32	983	72	13547
[OVER]	GO:0051251	positive regulation of lymphocyte activation	BIOLOGICAL_PROCESS	4.258821580733628E-10	3.2068168681464327E-13	24	513	80	14017
[OVER]	GO:0002682	regulation of immune system process	BIOLOGICAL_PROCESS	4.3234441685733615E-10	3.464967625623417E-13	51	2567	53	11963
[OVER]	GO:0050867	positive regulation of cell activation	BIOLOGICAL_PROCESS	4.3234441685733615E-10	3.5981582665573093E-13	26	624	78	13906
[OVER]	GO:0001775	cell activation	BIOLOGICAL_PROCESS	6.679682040332406E-10	5.823841988162839E-13	47	2221	57	12309
[OVER]	GO:0046649	lymphocyte activation	BIOLOGICAL_PROCESS	8.250638269380897E-10	7.520496183401126E-13	36	1312	68	13218
[OVER]	GO:0045321	leukocyte activation	BIOLOGICAL_PROCESS	8.617485680109772E-10	8.196395843642632E-13	44	1971	60	12559
[OVER]	GO:0038093	Fc receptor signaling pathway	BIOLOGICAL_PROCESS	1.137944024515245E-9	1.1274363180311942E-12	17	225	87	14305
[OVER]	GO:0050851	antigen receptor-mediated signaling pathway	BIOLOGICAL_PROCESS	1.7246370263882707E-9	1.7770603053974968E-12	20	357	84	14173
[OVER]	GO:0006952	defense response	BIOLOGICAL_PROCESS	2.135785920278754E-9	2.2853493380702394E-12	49	2497	55	12033
[OVER]	GO:0045088	regulation of innate immune response	BIOLOGICAL_PROCESS	2.2194421496396146E-9	2.462821709266009E-12	21	411	83	14119
[OVER]	GO:0050863	regulation of T cell activation	BIOLOGICAL_PROCESS	2.8267075324544343E-9	3.248702827296738E-12	25	631	79	13899
[OVER]	GO:0050670	regulation of lymphocyte proliferation	BIOLOGICAL_PROCESS	2.919844088296847E-9	3.4714589089250353E-12	20	371	84	14159
[OVER]	GO:0051707	response to other organism	BIOLOGICAL_PROCESS	3.3491832503816955E-9	4.3016387266857875E-12	47	2347	57	12183
[OVER]	GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	3.3491832503816955E-9	4.367951980993994E-12	47	2348	57	12182
[OVER]	GO:0032944	regulation of mononuclear cell proliferation	BIOLOGICAL_PROCESS	3.3491832503816955E-9	4.380099364427375E-12	20	376	84	14154
[OVER]	GO:0042110	T cell activation	BIOLOGICAL_PROCESS	4.2009631059960094E-9	5.6605534658528245E-12	30	966	74	13564
[OVER]	GO:0070663	regulation of leukocyte proliferation	BIOLOGICAL_PROCESS	5.943817389363944E-9	8.252146145573752E-12	20	390	84	14140
[OVER]	GO:0030155	regulation of cell adhesion	BIOLOGICAL_PROCESS	5.943817389363944E-9	8.480062854876629E-12	40	1757	64	12773
[OVER]	GO:0002443	leukocyte mediated immunity	BIOLOGICAL_PROCESS	6.8592532846915505E-9	1.0057954723322132E-11	30	989	74	13541
[OVER]	GO:0009617	response to bacterium	BIOLOGICAL_PROCESS	6.903983029145332E-9	1.039715274075705E-11	35	1359	69	13171
[OVER]	GO:0050671	positive regulation of lymphocyte proliferation	BIOLOGICAL_PROCESS	7.1367416176912575E-9	1.1286610894943746E-11	15	186	89	14344
[OVER]	GO:0022409	positive regulation of cell-cell adhesion	BIOLOGICAL_PROCESS	7.1367416176912575E-9	1.131334620170611E-11	23	554	81	13976
[OVER]	GO:0002697	regulation of immune effector process	BIOLOGICAL_PROCESS	7.931247288180143E-9	1.288713743175151E-11	26	735	78	13795
[OVER]	GO:0032946	positive regulation of mononuclear cell proliferation	BIOLOGICAL_PROCESS	8.35528102894221E-9	1.3965798807004744E-11	15	189	89	14341
[OVER]	GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	8.35528102894221E-9	1.4238381652776721E-11	47	2427	57	12103
[OVER]	GO:0050853	B cell receptor signaling pathway	BIOLOGICAL_PROCESS	8.882642976013975E-9	1.5489093288337293E-11	13	125	91	14405
[OVER]	GO:0050864	regulation of B cell activation	BIOLOGICAL_PROCESS	9.370427711069967E-9	1.6711023144221795E-11	16	229	88	14301
[OVER]	GO:0042113	B cell activation	BIOLOGICAL_PROCESS	1.2281904794424331E-8	2.2390029744521824E-11	22	518	82	14012
[OVER]	GO:0002376	immune system process	BIOLOGICAL_PROCESS	1.3108985415432554E-8	2.4417323129446758E-11	66	4572	38	9958
[OVER]	GO:0042098	T cell proliferation	BIOLOGICAL_PROCESS	1.3789297628824181E-8	2.6230978725619653E-11	19	368	85	14162
[OVER]	GO:0002429	immune response-activating cell surface receptor signaling pathway	BIOLOGICAL_PROCESS	1.7239502163195817E-8	3.3477414734537906E-11	21	475	83	14055
[OVER]	GO:0050900	leukocyte migration	BIOLOGICAL_PROCESS	1.7673839796859925E-8	3.502128125244704E-11	26	770	78	13760
[OVER]	GO:0002757	immune response-activating signal transduction	BIOLOGICAL_PROCESS	1.7855333382309423E-8	3.6088534954138654E-11	21	477	83	14053
[OVER]	GO:0038095	Fc-epsilon receptor signaling pathway	BIOLOGICAL_PROCESS	1.9595472939967575E-8	4.115880259256852E-11	13	136	91	14394
[OVER]	GO:0050778	positive regulation of immune response	BIOLOGICAL_PROCESS	1.9595472939967575E-8	4.086013107218156E-11	28	908	76	13622
[OVER]	GO:0002274	myeloid leukocyte activation	BIOLOGICAL_PROCESS	2.3630997749585867E-8	5.057162757015166E-11	27	849	77	13681
[OVER]	GO:0006911	phagocytosis, engulfment	BIOLOGICAL_PROCESS	2.492867030006337E-8	5.53245962352296E-11	14	173	90	14357
[OVER]	GO:1903037	regulation of leukocyte cell-cell adhesion	BIOLOGICAL_PROCESS	2.492867030006337E-8	5.4728755881416745E-11	23	601	81	13929
[OVER]	GO:0002703	regulation of leukocyte mediated immunity	BIOLOGICAL_PROCESS	3.498929137250125E-8	7.903894139549681E-11	18	345	86	14185
[OVER]	GO:0030098	lymphocyte differentiation	BIOLOGICAL_PROCESS	3.6921755889283E-8	8.567341586464088E-11	26	803	78	13727
[OVER]	GO:0042102	positive regulation of T cell proliferation	BIOLOGICAL_PROCESS	3.6921755889283E-8	8.633074138896276E-11	12	114	92	14416
[OVER]	GO:0007159	leukocyte cell-cell adhesion	BIOLOGICAL_PROCESS	4.329694382784637E-8	1.0295314190428337E-10	24	682	80	13848
[OVER]	GO:0002237	response to molecule of bacterial origin	BIOLOGICAL_PROCESS	1.142386009933746E-7	2.845285514339813E-10	25	783	79	13747
[OVER]	GO:0002366	leukocyte activation involved in immune response	BIOLOGICAL_PROCESS	1.142386009933746E-7	2.852229961789165E-10	27	919	77	13611
[OVER]	GO:0045619	regulation of lymphocyte differentiation	BIOLOGICAL_PROCESS	1.142386009933746E-7	2.84825829534858E-10	19	426	85	14104
[OVER]	GO:0002768	immune response-regulating cell surface receptor signaling pathway	BIOLOGICAL_PROCESS	1.1623960143060592E-7	2.9482560502353186E-10	21	537	83	13993
[OVER]	GO:0002263	cell activation involved in immune response	BIOLOGICAL_PROCESS	1.2262969749980645E-7	3.2075298359240776E-10	27	924	77	13606
[OVER]	GO:0030217	T cell differentiation	BIOLOGICAL_PROCESS	1.2262969749980645E-7	3.175594690979863E-10	22	598	82	13932
[OVER]	GO:0002764	immune response-regulating signaling pathway	BIOLOGICAL_PROCESS	1.306646002616137E-7	3.4694757728086697E-10	21	542	83	13988
[OVER]	GO:0042100	B cell proliferation	BIOLOGICAL_PROCESS	1.3281980700307103E-7	3.5793393081317443E-10	13	164	91	14366
[OVER]	GO:0001817	regulation of cytokine production	BIOLOGICAL_PROCESS	1.3635725366013915E-7	3.728708636527405E-10	32	1305	72	13225
[OVER]	GO:0002253	activation of immune response	BIOLOGICAL_PROCESS	1.7230518790480903E-7	4.779995701397627E-10	21	552	83	13978
[OVER]	GO:0099024	plasma membrane invagination	BIOLOGICAL_PROCESS	2.572562275238045E-7	7.238612988622089E-10	14	213	90	14317
[OVER]	GO:0001819	positive regulation of cytokine production	BIOLOGICAL_PROCESS	2.574818213767982E-7	7.419584796953871E-10	25	821	79	13709
[OVER]	GO:0022610	biological adhesion	BIOLOGICAL_PROCESS	2.574818213767982E-7	7.449044093253387E-10	46	2618	58	11912
[OVER]	GO:0032101	regulation of response to external stimulus	BIOLOGICAL_PROCESS	2.6629623543976044E-7	7.809583253098035E-10	41	2133	63	12397
[OVER]	GO:0001816	cytokine production	BIOLOGICAL_PROCESS	3.1297705160557984E-7	9.302611211674588E-10	33	1436	71	13094
[OVER]	GO:0002250	adaptive immune response	BIOLOGICAL_PROCESS	5.861047550724998E-7	1.7653058053148649E-9	20	535	84	13995
[OVER]	GO:0002831	regulation of response to biotic stimulus	BIOLOGICAL_PROCESS	5.87990536114965E-7	1.7942880862700555E-9	22	658	82	13872
[OVER]	GO:0050852	T cell receptor signaling pathway	BIOLOGICAL_PROCESS	6.01489955207591E-7	1.8593197997143463E-9	15	274	89	14256
[OVER]	GO:0045086	positive regulation of interleukin-2 biosynthetic process	BIOLOGICAL_PROCESS	6.161758217439401E-7	1.9291360487366253E-9	6	12	98	14518
[OVER]	GO:0002521	leukocyte differentiation	BIOLOGICAL_PROCESS	6.998410887236886E-7	2.2188121546346086E-9	29	1163	75	13367
[OVER]	GO:0046631	alpha-beta T cell activation	BIOLOGICAL_PROCESS	7.462232094538664E-7	2.395437719088621E-9	16	327	88	14203
[OVER]	GO:0032496	response to lipopolysaccharide	BIOLOGICAL_PROCESS	7.7727096239157E-7	2.5259073006027318E-9	23	736	81	13794
[OVER]	GO:0010324	membrane invagination	BIOLOGICAL_PROCESS	9.013026143293465E-7	2.964693733972804E-9	14	239	90	14291
[OVER]	GO:0038094	Fc-gamma receptor signaling pathway	BIOLOGICAL_PROCESS	1.018972989966817E-6	3.432517106455017E-9	11	126	93	14404
[OVER]	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	BIOLOGICAL_PROCESS	1.018972989966817E-6	3.432517106455017E-9	11	126	93	14404
[OVER]	GO:0043085	positive regulation of catalytic activity	BIOLOGICAL_PROCESS	1.3176962676212934E-6	4.491018864797338E-9	43	2459	61	12071
[OVER]	GO:0042108	positive regulation of cytokine biosynthetic process	BIOLOGICAL_PROCESS	1.4595110857963127E-6	5.032198488656886E-9	10	99	94	14431
[OVER]	GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	1.6635988171042694E-6	5.801795105820779E-9	69	5534	35	8996
[OVER]	GO:0051345	positive regulation of hydrolase activity	BIOLOGICAL_PROCESS	1.7691313255411534E-6	6.2399511739849655E-9	31	1381	73	13149
[OVER]	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	BIOLOGICAL_PROCESS	2.027339449775796E-6	7.2310288304926745E-9	11	136	93	14394
[OVER]	GO:0007155	cell adhesion	BIOLOGICAL_PROCESS	2.1530550242231234E-6	7.764752792149337E-9	44	2605	60	11925
[OVER]	GO:0042129	regulation of T cell proliferation	BIOLOGICAL_PROCESS	2.1582710920318246E-6	7.869097628776913E-9	14	259	90	14271
[OVER]	GO:0044419	interspecies interaction between organisms	BIOLOGICAL_PROCESS	2.3387381633236752E-6	8.619769713831166E-9	49	3142	55	11388
[OVER]	GO:0042742	defense response to bacterium	BIOLOGICAL_PROCESS	2.3920192067095935E-6	8.910942235592352E-9	18	470	86	14060
[OVER]	GO:0032633	interleukin-4 production	BIOLOGICAL_PROCESS	2.4802930755660164E-6	9.33808275586619E-9	8	52	96	14478
[OVER]	GO:0043548	phosphatidylinositol 3-kinase binding	MOLECULAR_FUNCTION	2.640329528530963E-6	1.0045243718106148E-8	10	107	94	14423
