Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0050853	B cell receptor signaling pathway	BIOLOGICAL_PROCESS	8.893555746285302E-9	1.5489093288337293E-11	13	125	91	14405
[OVER]	GO:0038095	Fc-epsilon receptor signaling pathway	BIOLOGICAL_PROCESS	1.9619546956578323E-8	4.115880259256852E-11	13	136	91	14394
[OVER]	GO:0006911	phagocytosis, engulfment	BIOLOGICAL_PROCESS	2.681158936032608E-8	5.943037540287604E-11	14	174	90	14356
[OVER]	GO:0045086	positive regulation of interleukin-2 biosynthetic process	BIOLOGICAL_PROCESS	6.169328244972418E-7	1.9291360487366253E-9	6	12	98	14518
[OVER]	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	BIOLOGICAL_PROCESS	1.0202248491468184E-6	3.432517106455017E-9	11	126	93	14404
[OVER]	GO:0043548	phosphatidylinositol 3-kinase binding	MOLECULAR_FUNCTION	2.643573305148268E-6	1.0045243718106148E-8	10	107	94	14423
[OVER]	GO:0017124	SH3 domain binding	MOLECULAR_FUNCTION	4.156279400129681E-6	1.694493263985739E-8	14	276	90	14254
[OVER]	GO:0007229	integrin-mediated signaling pathway	BIOLOGICAL_PROCESS	8.204307821312827E-6	3.5396989887709715E-8	12	201	92	14329
[OVER]	GO:0001772	immunological synapse	CELLULAR_COMPONENT	9.724617679661229E-6	4.3111034678675486E-8	9	93	95	14437
[OVER]	GO:0001784	phosphotyrosine residue binding	MOLECULAR_FUNCTION	1.7127561094008306E-5	8.339376104627545E-8	9	101	95	14429
[OVER]	GO:0045121	membrane raft	CELLULAR_COMPONENT	1.9863781104155826E-5	1.006398029342917E-7	23	902	81	13628
[OVER]	GO:0001891	phagocytic cup	CELLULAR_COMPONENT	4.1800861764111154E-5	2.5149346849845217E-7	9	116	95	14414
[OVER]	GO:0060333	interferon-gamma-mediated signaling pathway	BIOLOGICAL_PROCESS	6.427449489527336E-5	4.248670300629612E-7	8	89	96	14441
[OVER]	GO:0002223	stimulatory C-type lectin receptor signaling pathway	BIOLOGICAL_PROCESS	6.835214034374434E-5	4.5993761314267486E-7	8	90	96	14440
[OVER]	GO:0045082	positive regulation of interleukin-10 biosynthetic process	BIOLOGICAL_PROCESS	7.185039020955806E-5	4.891651011733687E-7	4	6	100	14524
[OVER]	GO:0045577	regulation of B cell differentiation	BIOLOGICAL_PROCESS	1.2486732451131674E-4	9.094200328563283E-7	7	67	97	14463
[OVER]	GO:0019903	protein phosphatase binding	MOLECULAR_FUNCTION	1.2853607621804327E-4	9.412276005516942E-7	15	449	89	14081
[OVER]	GO:0005925	focal adhesion	CELLULAR_COMPONENT	1.477551352471875E-4	1.105356260359343E-6	15	455	89	14075
