Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0005788	endoplasmic reticulum lumen	CELLULAR_COMPONENT	0.0032214337393178492	1.2766748857915623E-7	10	304	42	14278
[OVER]	GO:0034663	endoplasmic reticulum chaperone complex	CELLULAR_COMPONENT	0.010234645698814748	8.112111678210873E-7	4	17	48	14565
[OVER]	GO:0099156	cell-cell signaling via exosome	BIOLOGICAL_PROCESS	0.14469417826175887	2.293729295157276E-5	3	13	49	14569
[OVER]	GO:0034975	protein folding in endoplasmic reticulum	BIOLOGICAL_PROCESS	0.14469417826175887	1.8683415154590973E-5	3	12	49	14570
[OVER]	GO:1902070	positive regulation of sphingolipid mediated signaling pathway	BIOLOGICAL_PROCESS	0.1870711148435718	3.706874229056628E-5	2	1	50	14581
[OVER]	GO:0071682	endocytic vesicle lumen	CELLULAR_COMPONENT	0.3110750762105452	7.396863065284632E-5	2	2	50	14580
[OVER]	GO:0006457	protein folding	BIOLOGICAL_PROCESS	0.6904162670488133	3.953644998628322E-4	6	267	46	14315
[OVER]	GO:0006986	response to unfolded protein	BIOLOGICAL_PROCESS	0.6904162670488133	4.1901022556356033E-4	6	270	46	14312
[OVER]	GO:1905576	ganglioside GT1b binding	MOLECULAR_FUNCTION	0.6904162670488133	3.420547414541475E-4	2	6	50	14576
[OVER]	GO:0038131	neuregulin receptor activity	MOLECULAR_FUNCTION	0.6904162670488133	4.387841997330125E-4	2	7	50	14575
[OVER]	GO:0033018	sarcoplasmic reticulum lumen	CELLULAR_COMPONENT	0.6904162670488133	5.472328039066407E-4	2	8	50	14574
[OVER]	GO:0070491	repressing transcription factor binding	MOLECULAR_FUNCTION	0.6904162670488133	5.034756480700948E-4	5	181	47	14401
[OVER]	GO:0005790	smooth endoplasmic reticulum	CELLULAR_COMPONENT	0.6904162670488133	4.3211676666230755E-4	4	96	48	14486
[OVER]	GO:0005783	endoplasmic reticulum	CELLULAR_COMPONENT	0.6904162670488133	2.4880446932284907E-4	11	883	41	13699
[OVER]	GO:0005719	nuclear euchromatin	CELLULAR_COMPONENT	0.6904162670488133	4.3211676666230755E-4	4	96	48	14486
[OVER]	GO:1902068	regulation of sphingolipid mediated signaling pathway	BIOLOGICAL_PROCESS	0.6904162670488133	5.472328039066407E-4	2	8	50	14574
[OVER]	GO:1904826	regulation of hydrogen sulfide biosynthetic process	BIOLOGICAL_PROCESS	0.6904162670488133	5.472328039066407E-4	2	8	50	14574
[OVER]	GO:1904828	positive regulation of hydrogen sulfide biosynthetic process	BIOLOGICAL_PROCESS	0.6904162670488133	5.472328039066407E-4	2	8	50	14574
[OVER]	GO:0071387	cellular response to cortisol stimulus	BIOLOGICAL_PROCESS	0.6904162670488133	2.5712613107926636E-4	2	5	50	14577
[OVER]	GO:0010075	regulation of meristem growth	BIOLOGICAL_PROCESS	0.6904162670488133	2.5712613107926636E-4	2	5	50	14577
[OVER]	GO:0097067	cellular response to thyroid hormone stimulus	BIOLOGICAL_PROCESS	0.7383647877189385	6.144992883167958E-4	3	44	49	14538
[OVER]	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	BIOLOGICAL_PROCESS	0.8027130879216102	8.271129190330863E-4	3	49	49	14533
[OVER]	GO:0035594	ganglioside binding	MOLECULAR_FUNCTION	0.8027130879216102	7.989627018040757E-4	2	10	50	14572
[OVER]	GO:0032868	response to insulin	BIOLOGICAL_PROCESS	0.8027130879216102	8.160883086138839E-4	10	856	42	13726
[OVER]	GO:1904027	negative regulation of collagen fibril organization	BIOLOGICAL_PROCESS	0.8027130879216102	7.989627018040757E-4	2	10	50	14572
[OVER]	GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	BIOLOGICAL_PROCESS	0.8027130879216102	8.068071522126508E-4	4	114	48	14468
[OVER]	GO:0000791	euchromatin	CELLULAR_COMPONENT	0.8540621571134566	9.138698625634418E-4	4	118	48	14464
[OVER]	GO:0035966	response to topologically incorrect protein	BIOLOGICAL_PROCESS	0.875329467880358	9.713163357765634E-4	6	318	46	14264
[OVER]	GO:0065007	biological regulation	BIOLOGICAL_PROCESS	0.9076990928737516	0.0011151536432087465	51	12213	1	2369
[OVER]	GO:0043425	bHLH transcription factor binding	MOLECULAR_FUNCTION	0.9076990928737516	0.0010927095257612033	4	124	48	14458
