Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0070888	E-box binding	MOLECULAR_FUNCTION	2.313123078342957E-9	9.167055357440482E-14	13	107	68	14446
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	1.496190553710168E-8	1.18589985630735E-12	13	133	68	14420
[OVER]	GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	BIOLOGICAL_PROCESS	9.63621905546226E-7	1.1456686547928024E-10	6	9	75	14544
[OVER]	GO:2000322	regulation of glucocorticoid receptor signaling pathway	BIOLOGICAL_PROCESS	2.115840977377934E-5	3.3540854870652462E-9	7	36	74	14517
[OVER]	GO:0042921	glucocorticoid receptor signaling pathway	BIOLOGICAL_PROCESS	1.3051737056193367E-4	2.586243620693807E-8	7	50	74	14503
[OVER]	GO:0031958	corticosteroid receptor signaling pathway	BIOLOGICAL_PROCESS	1.5113175789364074E-4	4.192614058001368E-8	7	54	74	14499
[OVER]	GO:0048512	circadian behavior	BIOLOGICAL_PROCESS	1.5113175789364074E-4	3.6913559533680074E-8	12	265	69	14288
[OVER]	GO:0007622	rhythmic behavior	BIOLOGICAL_PROCESS	1.9273916164800207E-4	6.110701435358525E-8	12	278	69	14275
[OVER]	GO:0048511	rhythmic process	BIOLOGICAL_PROCESS	2.460563279701884E-4	8.776233312454706E-8	20	898	61	13655
[OVER]	GO:0045475	locomotor rhythm	BIOLOGICAL_PROCESS	5.354087131581495E-4	2.121859125582172E-7	8	106	73	14447
[OVER]	GO:0007623	circadian rhythm	BIOLOGICAL_PROCESS	6.401406912808678E-4	2.7906105512977236E-7	17	696	64	13857
[OVER]	GO:0042749	regulation of circadian sleep/wake cycle	BIOLOGICAL_PROCESS	0.0017300707226998698	8.227657699202804E-7	8	128	73	14425
[OVER]	GO:0042745	circadian sleep/wake cycle	BIOLOGICAL_PROCESS	0.005091692384617815	3.074099363191056E-6	8	154	73	14399
[OVER]	GO:0003053	circadian regulation of heart rate	BIOLOGICAL_PROCESS	0.005091692384617815	3.228592642725203E-6	3	3	78	14550
[OVER]	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.005091692384617815	3.2056193095022705E-6	20	1132	61	13421
[OVER]	GO:0000987	cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.005091692384617815	2.766603719752285E-6	19	1019	62	13534
[OVER]	GO:0042634	regulation of hair cycle	BIOLOGICAL_PROCESS	0.005679877589535302	3.8266523608805984E-6	6	70	75	14483
[OVER]	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.007262787848381879	5.180921066495218E-6	18	963	63	13590
[OVER]	GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	BIOLOGICAL_PROCESS	0.007928085083812632	5.969706994508779E-6	6	76	75	14477
[OVER]	GO:0009649	entrainment of circadian clock	BIOLOGICAL_PROCESS	0.01875109352213925	1.4862357644464983E-5	6	90	75	14463
[OVER]	GO:1990837	sequence-specific double-stranded DNA binding	MOLECULAR_FUNCTION	0.029330145569355735	2.4409822730411382E-5	21	1414	60	13139
[OVER]	GO:0045187	regulation of circadian sleep/wake cycle, sleep	BIOLOGICAL_PROCESS	0.03166517453532751	2.7608046596805974E-5	6	101	75	14452
[OVER]	GO:0043565	sequence-specific DNA binding	MOLECULAR_FUNCTION	0.032092083510511085	3.0523917261216105E-5	22	1553	59	13000
[OVER]	GO:0030522	intracellular receptor signaling pathway	BIOLOGICAL_PROCESS	0.032092083510511085	2.934207797668366E-5	13	600	68	13953
[OVER]	GO:0048545	response to steroid hormone	BIOLOGICAL_PROCESS	0.034137096966780515	3.382187707246514E-5	18	1108	63	13445
[OVER]	GO:0000976	transcription regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.041665847540089056	4.2932351921781614E-5	20	1353	61	13200
[OVER]	GO:0001067	regulatory region nucleic acid binding	MOLECULAR_FUNCTION	0.04682598055425581	5.010507965620049E-5	20	1368	61	13185
[OVER]	GO:0050802	circadian sleep/wake cycle, sleep	BIOLOGICAL_PROCESS	0.04733616234019269	5.521469087555093E-5	6	115	75	14438
[OVER]	GO:0042752	regulation of circadian rhythm	BIOLOGICAL_PROCESS	0.04733616234019269	5.368646968003044E-5	10	378	71	14175
[OVER]	GO:0003690	double-stranded DNA binding	MOLECULAR_FUNCTION	0.04733616234019269	5.6278875686829966E-5	21	1497	60	13056
